CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
10056,480,Germany,Female,73,5,115352.17,1,1,0,103479.96,1
10057,834,France,Male,31,3,33107.06,2,1,0,51877.01,0
10058,656,Spain,Male,50,5,0.0,2,1,0,21881.86,0
10059,484,Spain,Male,27,4,68686.12,1,1,0,65392.61,0
10060,370,France,Female,33,8,80180.54,2,0,1,130510.0,0
10061,678,France,Female,21,9,0.0,1,0,1,82277.45,0
10062,516,France,Female,44,8,96507.68,2,0,1,145245.81,0
10063,623,Spain,Female,45,3,188063.23,1,1,1,82988.91,0
10064,737,France,Male,60,3,58735.28,2,1,1,52246.34,0
10065,438,Germany,Female,33,7,0.0,2,0,1,41097.39,0
10066,665,Spain,Male,69,9,157391.36,2,1,0,108760.81,1
10067,363,France,Female,50,3,109204.92,1,1,1,87411.47,0
10068,591,Spain,Female,65,1,0.0,2,0,0,96539.86,0
10069,614,France,Male,36,1,10668.03,1,1,1,116942.12,0
10070,695,Spain,Female,38,0,0.0,2,1,0,112996.97,0
10071,402,Spain,Female,39,4,54146.75,1,1,1,20854.05,0
10072,735,France,Male,26,5,199867.02,1,1,1,123347.21,0
10073,689,France,Female,26,8,0.0,2,1,1,86914.95,0
10074,441,France,Male,26,4,176899.31,2,1,1,67880.65,0
10075,716,France,Female,44,5,0.0,1,1,0,87565.12,0
10076,793,France,Male,34,5,68183.28,3,1,1,97680.95,0
10077,804,France,Female,61,2,108706.88,4,1,0,35183.35,1
10078,777,Germany,Female,74,3,168107.18,2,0,0,71351.08,1
10079,613,France,Female,62,0,176673.66,1,1,0,60304.14,1
10080,780,France,Female,25,3,32078.78,2,1,0,62305.21,0
10081,384,Spain,Male,33,0,67914.63,1,0,1,27330.22,0
10082,555,France,Female,35,4,0.0,1,1,1,36578.87,0
10083,430,Germany,Male,50,10,8408.96,3,0,1,36847.33,1
10084,769,Spain,Female,18,10,119647.55,3,1,0,65385.34,0
10085,399,Germany,Male,29,7,0.0,3,0,0,135756.36,0
10086,709,France,Male,23,7,76314.88,1,0,0,42813.7,0
10087,737,France,Female,58,4,148007.19,1,1,0,71185.99,1
10088,351,France,Male,72,9,0.0,1,1,0,57067.27,1
10089,739,Germany,Male,22,1,0.0,1,0,0,121296.75,0
10090,403,France,Male,33,5,0.0,1,1,1,21767.07,0
10091,455,France,Male,35,0,141864.77,1,0,1,41533.36,0
10092,609,Germany,Male,66,6,0.0,2,1,1,43436.61,0
10093,659,France,Male,35,10,0.0,2,1,0,149049.98,0
10094,826,France,Male,18,3,0.0,2,0,1,92054.63,0
10095,540,France,Male,36,4,0.0,2,1,1,33759.37,0
10096,751,Germany,Female,71,5,13896.0,1,0,0,51746.88,1
10097,567,France,Male,25,10,0.0,1,0,0,37655.98,0
10098,393,Spain,Female,20,0,151295.54,2,1,0,31821.62,0
10099,511,Germany,Female,42,8,0.0,2,1,0,122619.57,0
10100,551,France,Male,22,9,0.0,2,1,0,81926.6,0
10101,795,Spain,Female,72,3,0.0,1,1,0,100213.37,0
10102,833,France,Female,57,7,137993.8,1,1,0,59718.92,0
10103,619,France,Female,36,4,194280.37,2,1,0,89748.84,0
10104,700,Germany,Female,35,10,0.0,2,1,1,49771.82,0
10105,653,Germany,Male,67,7,0.0,3,1,0,56584.9,1
10106,620,Spain,Female,70,0,25220.54,2,1,1,103052.12,0
10107,805,Spain,Female,48,7,78591.76,2,1,0,35297.27,0
10108,811,France,Female,50,10,170287.74,2,1,0,98324.95,0
10109,564,France,Male,64,10,0.0,2,1,1,130051.7,0
10110,601,France,Female,35,3,101274.33,2,1,1,31257.14,0
10111,539,France,Female,74,1,118820.93,3,1,0,136157.27,1
10112,645,France,Male,56,10,141629.47,2,1,1,25725.17,0
10113,562,France,Male,33,5,166551.73,3,1,1,62102.75,0
10114,557,France,Male,33,1,24302.23,1,1,0,97418.76,0
10115,586,France,Female,64,4,0.0,2,1,0,90520.99,0
10116,687,Spain,Female,55,1,0.0,2,1,1,28012.79,0
10117,716,Germany,Female,58,2,90124.69,1,1,0,122853.28,1
10118,402,France,Male,24,10,84779.95,2,1,0,146375.69,0
10119,629,Germany,Female,31,5,101842.32,1,1,0,39465.82,0
10120,759,Germany,Male,60,0,0.0,2,1,1,135842.68,0
10121,566,France,Male,70,5,0.0,2,0,1,90169.27,0
10122,601,Germany,Female,65,2,190635.51,1,0,1,141351.06,1
10123,537,Spain,Female,42,6,36058.03,1,1,1,38771.6,0
10124,729,Spain,Female,49,1,144827.2,2,1,1,121922.89,0
10125,842,France,Female,55,5,0.0,2,1,1,23070.51,0
10126,390,Spain,Male,39,7,135825.77,1,0,1,134231.52,0
10127,506,France,Male,33,0,0.0,2,1,1,106011.52,0
10128,364,Spain,Female,69,10,112962.56,2,1,0,64984.4,1
10129,650,Spain,Female,46,10,0.0,2,1,1,40713.02,0
10130,414,Spain,Male,33,8,164329.32,1,1,1,125231.97,0
10131,694,Spain,Male,29,4,24457.74,3,1,1,96437.58,0
10132,676,Spain,Male,34,4,169717.53,1,1,1,63656.14,0
10133,358,France,Female,54,4,82813.72,2,0,1,74917.84,1
10134,693,France,Male,44,5,50739.37,2,1,1,126583.26,0
10135,478,Germany,Male,42,1,0.0,1,1,1,60755.17,0
10136,841,France,Male,30,5,86404.96,2,1,0,27100.41,0
10137,485,France,Male,25,10,0.0,1,0,0,138023.09,0
10138,821,France,Female,73,3,0.0,2,1,1,67291.4,0
10139,412,France,Male,22,7,785.86,2,1,0,62032.31,0
10140,488,Germany,Female,29,10,99091.84,2,1,0,42593.95,0
10141,848,Spain,Female,58,8,20045.65,2,1,0,136152.05,0
10142,430,Germany,Female,20,8,150875.19,2,0,1,44363.22,0
10143,741,Spain,Male,52,7,55215.03,2,1,0,100950.84,0
10144,512,France,Female,50,2,88729.13,2,1,1,133903.28,0
10145,768,France,Female,74,9,17406.71,1,1,1,19713.34,1
10146,638,Spain,Female,39,10,57331.85,2,1,1,126886.88,0
10147,728,France,Female,67,10,0.0,3,1,0,70430.92,1
10148,610,Germany,Male,73,3,0.0,1,1,1,103826.57,1
10149,839,Germany,Male,61,0,129431.91,1,1,1,65274.62,0
10150,580,France,Male,26,8,183485.17,1,0,0,108894.69,0
10151,390,Germany,Male,58,4,135967.35,1,1,0,49329.81,1
10152,377,Germany,Male,35,5,0.0,1,0,0,17960.62,1
10153,484,Spain,Male,67,2,21794.33,1,0,0,142951.31,0
10154,550,France,Male,46,10,0.0,1,1,0,17209.65,0
10155,677,France,Male,56,9,178907.77,2,1,0,126253.4,0
10156,617,Spain,Male,44,7,143021.12,1,1,1,37833.58,0
10157,767,France,Male,53,6,127910.77,2,0,1,67949.73,0
10158,382,France,Male,62,0,0.0,2,1,1,126036.47,0
10159,397,Germany,Male,34,9,0.0,3,1,1,42800.84,1
10160,756,France,Male,73,4,8911.33,2,0,1,131870.53,1
10161,411,Spain,Male,51,9,156888.31,1,1,1,82197.46,0
10162,565,Germany,Female,63,8,135742.65,3,1,0,64430.72,1
10163,642,Germany,Male,20,10,0.0,2,0,0,104429.1,0
10164,448,France,Male,22,5,179951.92,1,1,1,61087.61,0
10165,521,Germany,Male,31,7,0.0,1,1,1,61883.93,0
10166,709,France,Female,20,9,58864.35,1,1,0,114026.06,0
10167,563,France,Female,40,0,174559.27,1,0,0,56827.35,0
10168,824,Spain,Female,56,9,159397.53,1,1,1,42104.31,0
10169,384,France,Female,47,10,102995.96,3,1,0,124032.23,1
10170,798,France,Male,67,6,26146.95,2,1,0,123725.09,0
10171,576,Spain,Male,62,2,0.0,2,0,1,82174.07,0
10172,450,France,Male,40,8,0.0,2,1,1,86098.51,0
10173,780,France,Female,44,5,77008.25,2,1,1,108970.34,0
10174,811,France,Female,71,4,167294.64,2,0,1,83752.03,0
10175,480,Germany,Female,27,7,0.0,3,1,1,71300.39,0
10176,606,Spain,Male,42,7,161127.39,1,1,1,149310.72,0
10177,354,France,Female,30,2,75509.08,3,0,0,34931.46,1
10178,567,France,Male,33,1,0.0,2,1,0,95018.28,0
10179,604,France,Male,58,1,70288.33,1,1,1,134591.51,0
10180,747,France,Male,51,4,33420.02,2,0,0,107774.03,0
10181,708,Germany,Female,72,9,6678.64,2,1,0,133924.65,1
10182,632,France,Male,54,6,0.0,3,1,0,60405.19,1
10183,742,France,Female,39,7,0.0,1,0,0,51719.05,0
10184,556,Spain,Male,34,9,0.0,2,1,0,129921.77,0
10185,364,Spain,Female,40,7,41302.63,1,1,1,68205.47,0
10186,695,Spain,Male,71,7,193964.16,1,1,0,110807.11,1
10187,391,France,Male,53,9,0.0,1,1,0,34946.06,0
10188,729,France,Female,66,10,157156.43,2,1,1,117038.15,0
10189,810,France,Female,26,2,0.0,2,1,1,89112.66,0
10190,528,France,Female,69,10,7497.59,1,1,0,51262.57,1
10191,412,Spain,Female,19,1,183560.51,2,1,1,81758.04,0
10192,701,Germany,Female,49,3,0.0,1,1,1,109087.39,0
10193,580,Spain,Male,73,0,110355.86,1,1,1,16604.67,1
10194,590,Germany,Female,67,2,54810.84,2,1,0,101058.05,1
10195,401,France,Male,70,10,13038.56,1,1,1,88114.76,1
10196,445,Spain,Male,39,8,9984.5,2,0,1,44738.63,0
10197,737,France,Male,60,6,0.0,1,1,1,116652.44,0
10198,571,Spain,Female,30,6,14273.4,1,1,0,55967.23,0
10199,834,France,Female,25,0,152111.62,2,1,1,52376.23,0
10200,756,France,Male,18,6,0.0,2,1,1,78614.48,0
10201,580,France,Female,34,9,0.0,1,0,0,106280.21,0
10202,586,Germany,Female,29,6,83673.78,2,1,0,140394.21,0
10203,492,France,Male,21,3,0.0,2,1,1,34083.23,0
10204,520,France,Male,70,6,0.0,2,1,0,68523.2,1
10205,378,France,Female,30,7,143135.3,1,0,1,24043.59,0
10206,385,Germany,Male,48,2,0.0,2,1,0,117404.35,1
10207,362,Spain,Female,58,9,63929.61,2,1,0,75443.94,1
10208,509,Spain,Male,24,1,0.0,1,0,1,110435.43,0
10209,676,France,Male,40,6,122742.44,2,1,0,58496.25,0
10210,536,Spain,Female,41,4,124725.19,3,1,1,128982.83,0
10211,592,France,Female,22,4,96339.97,2,1,1,87201.79,0
10212,435,Germany,Female,22,4,80131.57,2,1,1,142387.06,0
10213,633,Spain,Female,34,6,0.0,2,1,1,25639.98,0
10214,415,France,Female,47,8,164224.73,2,1,1,84427.37,0
10215,519,France,Female,26,10,86996.04,2,0,0,118471.46,0
10216,394,France,Male,23,7,145458.5,2,0,1,96020.61,0
10217,411,France,Male,42,5,53912.34,2,0,0,18131.21,0
10218,790,France,Male,36,6,0.0,1,0,0,146265.72,0
10219,483,Spain,Female,33,8,70486.21,1,1,1,55265.6,0
10220,633,France,Male,38,10,80594.56,2,1,1,48652.51,0
10221,377,France,Female,19,5,0.0,1,0,0,80564.08,0
10222,457,France,Male,27,0,0.0,2,0,0,88191.34,0
10223,393,France,Female,33,3,71838.68,3,1,1,118448.9,0
10224,689,Germany,Female,54,7,116083.63,2,0,0,68091.94,0
10225,635,France,Male,32,6,14792.64,4,1,1,74394.65,0
10226,795,Spain,Female,30,2,34999.37,2,0,1,87219.59,0
10227,680,Germany,Male,30,9,177938.75,1,1,0,68242.26,0
10228,477,Spain,Male,49,2,121737.51,2,1,0,138463.99,0
10229,697,Germany,Female,62,10,190056.81,1,1,1,129919.02,0
10230,822,France,Male,64,2,199750.01,1,1,0,76421.45,1
10231,580,Germany,Female,63,0,74372.02,1,1,0,15026.31,1
10232,539,France,Male,25,9,59760.61,1,0,0,136626.16,0
10233,574,France,Male,60,0,171671.21,1,1,0,31785.44,1
10234,734,Spain,Female,35,5,199722.29,1,1,0,48009.18,0
10235,726,Germany,Male,73,0,0.0,2,1,1,35568.77,0
10236,632,Germany,Female,53,4,0.0,2,1,1,39275.1,0
10237,795,France,Female,43,3,0.0,1,1,1,123388.47,0
10238,470,France,Male,27,4,0.0,1,1,1,93232.69,0
10239,465,Germany,Male,48,6,114854.08,2,1,0,144072.85,0
10240,810,France,Male,50,5,166611.39,2,1,0,46246.22,0
10241,582,Germany,Male,46,8,137622.78,3,0,1,80560.71,1
10242,608,Germany,Male,22,5,4232.76,1,1,1,146952.83,0
10243,708,France,Male,30,8,0.0,2,1,1,126569.87,0
10244,547,France,Male,18,3,28895.14,2,0,1,113363.12,0
10245,805,France,Male,40,0,46594.44,2,0,1,40511.65,0
10246,760,France,Female,57,0,181097.9,1,0,0,118869.73,1
10247,486,Germany,Female,20,9,7378.66,1,1,1,61921.29,0
10248,667,France,Female,20,6,0.0,1,1,1,86622.48,0
10249,514,Germany,Male,24,2,0.0,1,0,1,97236.76,0
10250,574,France,Female,53,1,123376.81,2,1,1,97264.1,0
10251,656,Germany,Male,52,5,0.0,2,1,1,113080.67,0
10252,583,France,Female,32,5,43653.9,2,1,1,104329.78,0
10253,521,France,Female,57,6,0.0,2,0,1,24230.07,0
10254,501,France,Male,20,4,0.0,2,1,1,76741.85,0
10255,812,Spain,Female,46,7,100505.93,1,1,1,104642.92,0
10256,664,Spain,Female,47,6,54235.56,4,1,1,54959.05,1
10257,723,Germany,Female,56,1,0.0,2,1,0,57262.65,0
10258,509,France,Female,35,0,92773.04,1,1,1,31816.62,0
10259,445,France,Male,28,8,11759.2,1,1,1,71513.02,0
10260,821,Spain,Male,60,4,0.0,2,0,1,148222.11,0
10261,582,France,Male,66,10,65769.06,2,0,0,53518.11,0
10262,529,France,Female,55,4,130697.79,1,1,1,86743.98,0
10263,462,Germany,Male,57,9,55918.87,2,0,0,115337.03,1
10264,667,Germany,Female,18,3,114148.75,2,0,1,16822.13,0
10265,846,Germany,Male,46,1,154430.5,2,1,0,136559.34,0
10266,791,Germany,Male,27,4,185601.75,1,0,1,67184.27,0
10267,401,France,Male,45,1,0.0,1,1,0,132330.66,0
10268,617,France,Female,74,6,66971.39,3,1,0,20257.93,1
10269,644,Spain,Male,48,10,92853.28,2,1,1,34664.58,0
10270,735,Germany,Male,36,8,0.0,1,0,0,58541.48,0
10271,736,France,Male,20,8,180277.37,1,0,1,61637.34,0
10272,462,France,Male,53,10,17975.66,1,0,1,129452.22,0
10273,450,France,Male,60,5,26385.97,1,0,1,16512.15,1
10274,462,Spain,Female,32,0,99101.84,2,0,0,101550.09,0
10275,789,Germany,Male,50,5,21323.85,3,1,1,32727.18,0
10276,430,Germany,Male,58,4,69116.17,1,1,0,126134.11,1
10277,536,France,Female,60,3,29677.08,1,1,1,120107.39,1
10278,462,Germany,Female,68,5,127208.07,2,1,1,82489.34,1
10279,351,Spain,Female,62,5,0.0,1,1,0,43712.78,1
10280,479,France,Male,43,5,0.0,3,1,0,100656.88,1
10281,569,France,Female,33,1,0.0,2,0,0,36094.87,0
10282,403,France,Female,53,6,119802.53,3,1,1,40653.21,1
10283,692,France,Female,50,3,0.0,1,1,0,99603.14,0
10284,834,Germany,Male,37,8,0.0,1,0,1,148815.84,0
10285,573,France,Female,30,9,137912.88,1,1,1,135293.21,0
10286,574,Germany,Female,50,1,0.0,1,1,1,95069.49,0
10287,734,France,Male,22,4,41229.23,1,0,1,87702.46,0
10288,752,France,Male,54,3,0.0,3,1,0,149781.96,0
10289,475,France,Female,31,8,15192.06,2,1,1,88898.61,0
10290,479,France,Female,44,3,0.0,2,1,1,71715.73,0
10291,402,France,Male,40,7,50548.53,1,1,1,137790.0,0
10292,521,Germany,Female,31,7,0.0,2,1,0,46614.88,0
10293,567,Spain,Male,57,5,0.0,2,1,0,28166.01,0
10294,509,Spain,Male,21,5,0.0,1,0,0,100602.15,0
10295,547,France,Female,56,10,98688.86,3,1,0,27939.7,1
10296,765,France,Male,69,7,114429.38,1,1,0,65375.05,1
10297,596,France,Male,36,9,0.0,1,0,1,72182.95,0
10298,673,Spain,Female,64,8,0.0,1,1,1,88917.64,0
10299,788,France,Male,71,4,38505.98,2,1,1,148874.04,0
10300,552,France,Male,21,10,149026.55,2,0,1,44832.53,0
10301,533,Spain,Female,47,0,25411.25,1,1,0,65727.11,0
10302,472,France,Female,36,0,20774.76,1,0,1,32852.42,0
10303,750,France,Female,48,1,0.0,1,1,1,97027.83,0
10304,604,France,Female,48,9,0.0,1,1,1,113235.88,0
10305,643,Germany,Male,26,9,61354.55,1,0,1,80080.37,0
10306,629,Spain,Female,70,4,95045.49,1,1,0,48187.22,1
10307,674,France,Male,30,3,0.0,1,1,1,98819.92,0
10308,721,France,Female,31,0,141715.83,2,1,0,87786.29,0
10309,447,Germany,Male,72,3,124686.36,2,0,0,38110.07,1
10310,547,Spain,Female,63,3,128879.23,2,0,0,69767.06,1
10311,819,France,Male,71,9,142810.87,1,1,1,73751.61,0
10312,744,Germany,Male,27,3,58522.55,1,1,0,147653.4,0
10313,589,France,Female,65,0,0.0,1,1,1,129653.59,1
10314,493,Spain,Female,48,8,87599.55,1,1,0,114140.06,1
10315,446,Spain,Female,54,2,61492.43,1,1,1,134984.9,0
10316,550,France,Male,40,3,0.0,2,0,1,114290.39,0
10317,473,Germany,Male,44,4,162810.39,3,0,0,136959.25,1
10318,536,Spain,Female,23,6,0.0,1,1,0,22364.67,0
10319,675,Spain,Female,43,5,0.0,1,1,1,76568.94,0
10320,813,France,Female,19,4,0.0,3,1,0,115831.28,0
10321,698,France,Female,62,7,0.0,1,1,1,93744.93,0
10322,608,France,Female,30,0,22858.26,2,1,1,38647.43,0
10323,497,Germany,Female,68,6,106667.62,4,1,0,60966.43,1
10324,601,France,Female,67,5,0.0,4,0,0,57899.54,1
10325,792,Spain,Female,36,10,147350.04,1,1,0,50281.83,0
10326,769,Spain,Female,18,4,43121.81,1,1,0,61323.3,0
10327,752,France,Female,57,6,79859.85,1,1,0,84505.19,0
10328,695,Spain,Female,49,2,101578.84,2,1,0,130407.32,0
10329,800,France,Female,39,0,162041.17,3,1,0,115174.41,1
10330,496,Germany,Male,65,8,167824.32,2,1,0,127758.71,1
10331,497,France,Male,46,1,0.0,2,0,1,134286.51,0
10332,701,France,Female,19,9,101849.05,2,1,1,71180.31,0
10333,548,France,Female,57,2,138854.95,2,1,1,61713.55,0
10334,657,France,Female,55,7,22360.07,2,0,0,22779.16,0
10335,838,Germany,Female,65,9,113057.79,2,0,0,140616.37,1
10336,766,Spain,Female,72,8,49738.36,2,1,1,23886.11,0
10337,773,Spain,Male,28,2,86343.38,1,0,1,115053.29,0
10338,477,France,Female,34,5,0.0,2,1,0,66044.62,0
10339,388,France,Female,72,6,0.0,1,1,0,143085.4,1
10340,687,France,Male,68,0,10437.01,1,1,1,71646.27,0
10341,709,Spain,Male,60,6,2046.77,2,1,1,125242.13,0
10342,478,Germany,Male,25,3,0.0,2,1,0,53158.4,0
10343,616,France,Male,39,4,0.0,3,1,1,55376.98,0
10344,825,France,Male,21,7,22071.01,1,1,1,95395.12,0
10345,790,Spain,Male,28,3,47897.74,2,1,1,149727.66,0
10346,822,Germany,Male,25,3,44244.3,1,0,1,84872.28,0
10347,783,Spain,Male,26,7,197359.32,3,0,0,141401.67,0
10348,500,Germany,Male,43,4,61201.22,1,0,1,121143.73,0
10349,764,France,Female,19,5,25484.16,2,1,1,122441.68,0
10350,827,France,Female,33,10,0.0,2,1,1,73854.6,0
10351,647,Germany,Female,48,4,171591.49,1,1,1,67183.2,0
10352,448,Spain,Male,23,0,135612.08,3,1,1,40909.44,0
10353,612,France,Male,70,6,0.0,2,1,0,145132.07,1
10354,601,Spain,Male,38,5,112323.23,1,1,0,144518.14,0
10355,493,Germany,Female,43,1,142971.19,1,1,1,115854.14,0
10356,695,Spain,Male,36,10,145620.9,1,1,0,54994.08,0
10357,461,Spain,Female,45,6,0.0,1,1,0,48099.24,0
10358,849,France,Male,25,5,0.0,2,0,0,148462.38,0
10359,409,Spain,Female,31,4,174021.09,3,1,1,23983.28,1
10360,718,Spain,Male,41,7,115787.31,1,1,0,128881.18,0
10361,351,Germany,Male,65,4,85971.27,1,1,1,62986.83,1
10362,734,Germany,Female,61,10,0.0,2,0,0,71547.41,1
10363,653,Germany,Male,54,1,0.0,1,1,0,127316.98,1
10364,603,France,Male,73,5,1130.42,1,1,0,27231.41,1
10365,489,Spain,Female,43,0,198399.4,1,1,0,62812.91,0
10366,802,Germany,Female,48,4,0.0,2,0,1,143523.28,0
10367,386,Spain,Female,73,5,0.0,2,1,1,109373.9,1
10368,509,Germany,Male,68,6,0.0,2,1,1,116916.79,1
10369,358,Germany,Male,49,1,45008.08,1,0,0,117263.22,1
10370,582,France,Male,67,0,0.0,2,1,1,23176.96,0
10371,448,Spain,Male,58,5,26516.44,2,0,0,42433.03,1
10372,496,France,Female,19,2,0.0,2,1,0,81320.54,0
10373,653,France,Female,42,4,35427.09,1,1,1,64700.28,0
10374,557,Spain,Male,69,10,0.0,2,1,1,70473.16,0
10375,480,Germany,Female,61,1,74692.84,2,1,0,120495.4,1
10376,753,France,Male,19,0,0.0,1,1,0,16981.7,0
10377,501,France,Female,59,0,198962.61,1,0,1,104166.41,1
10378,403,Spain,Male,18,10,0.0,3,1,0,15014.88,0
10379,469,France,Male,53,3,145193.76,2,0,1,23512.9,0
10380,510,France,Male,74,9,10349.1,3,1,1,70118.63,1
10381,757,France,Female,29,1,6038.4,2,0,1,128528.05,0
10382,465,France,Female,26,0,21066.78,2,0,0,34574.43,0
10383,424,France,Male,53,5,0.0,1,1,1,89873.89,1
10384,462,France,Male,58,3,0.0,1,1,0,106598.21,1
10385,805,France,Male,45,9,38785.56,3,1,0,45986.94,0
10386,769,Germany,Male,55,6,0.0,1,1,1,84164.58,0
10387,771,Spain,Female,50,10,48107.02,1,1,0,138039.98,0
10388,453,Spain,Male,59,5,0.0,2,1,0,84150.85,0
10389,689,France,Male,63,4,113940.93,2,0,1,36238.61,0
10390,603,France,Female,39,9,0.0,1,1,1,99754.93,0
10391,576,Spain,Male,42,1,151324.56,1,1,0,94947.02,0
10392,461,France,Female,35,4,61910.63,1,1,0,18638.89,0
10393,822,France,Female,23,8,184426.27,1,1,0,27230.24,0
10394,448,Spain,Male,35,8,131344.54,2,1,0,36165.48,0
10395,502,Spain,Female,69,1,87270.24,1,1,1,33399.03,1
10396,698,France,Female,33,6,0.0,2,0,1,50027.88,0
10397,751,France,Male,32,9,163582.93,2,0,1,76304.22,0
10398,733,Spain,Male,65,3,58096.32,2,0,0,65181.7,0
10399,715,France,Male,25,2,67942.91,1,0,0,135237.74,0
10400,687,Spain,Female,30,10,187191.03,2,1,0,97634.77,0
10401,543,Spain,Female,72,0,0.0,1,0,0,133279.49,1
10402,659,Germany,Female,60,2,0.0,1,1,0,86150.31,1
10403,512,France,Female,74,10,90811.06,2,1,0,27132.51,1
10404,557,Germany,Female,24,8,0.0,1,0,0,77543.81,0
10405,794,Spain,Female,34,8,0.0,2,1,1,125974.39,0
10406,518,France,Male,67,6,0.0,1,1,1,41204.01,1
10407,833,France,Female,49,2,0.0,1,0,1,27313.93,0
10408,510,Spain,Male,39,2,20012.93,4,1,0,59473.69,1
10409,417,France,Female,72,3,117737.79,2,0,1,67501.21,1
10410,638,France,Male,68,6,155679.12,2,0,1,56344.79,0
10411,747,France,Male,74,6,18665.62,2,1,0,33257.51,1
10412,626,Germany,Male,30,1,34531.48,1,1,1,48863.38,0
10413,653,Germany,Male,64,4,0.0,2,0,1,107108.12,1
10414,753,Spain,Female,40,6,0.0,1,0,1,67100.35,0
10415,733,France,Male,71,6,177346.88,2,1,0,100394.18,1
10416,741,France,Female,46,5,134132.66,2,1,0,87401.01,0
10417,484,Spain,Male,39,9,196408.02,3,0,1,89122.15,1
10418,544,France,Female,18,9,12606.73,2,1,0,48554.19,0
10419,750,France,Male,46,7,180600.22,1,1,1,85408.31,0
10420,477,Spain,Male,65,2,162813.66,2,0,1,18185.29,0
10421,382,Germany,Female,22,0,62848.3,1,1,0,73285.41,0
10422,525,Spain,Male,52,2,0.0,1,1,1,92304.08,0
10423,809,Spain,Male,72,10,57587.55,1,1,1,39569.41,0
10424,792,Germany,Male,27,1,0.0,2,1,0,49635.4,0
10425,720,France,Male,36,1,176149.72,1,1,0,44636.69,0
